time,location,account,cue
2020-04-07 18:39:00,Downtown,FamousWatsonIcecream,['@ElwinJr']
2020-04-07 18:39:00,Scenic Vista,DarkNBread,['@LazyRBowl']
2020-04-07 18:39:00,West Parton,James1993J,['@RachelSimmons']
2020-04-07 18:39:00,East Parton,SallyBusyP,['@HoldsConleyBird']
2020-04-07 18:39:00,Broadview,WileyTBanana95,"['@DerekNolan', '@ing']"
2020-04-07 18:39:00,Weston,W83Chacon,['@ChemistryTeacherRichardNelson']
2020-04-07 18:39:00,Old Town,WilliamCleverSmith,['@ChloeJohnson']
2020-04-07 18:39:00,Southton,JeremiahCuriousR,['@DerekNolan']
2020-04-07 18:39:00,Downtown,KramerLion81,['@ChloeJohnson']
2020-04-07 18:40:00,Downtown,LazyHouseJulie_Oharra,['@LazyRBowl']
2020-04-07 18:40:00,Northwest,TallDwayneBowl,['@Stancil6']
2020-04-07 18:40:00,Scenic Vista,LazyJBread,['@ChloeJohnson']
2020-04-07 18:40:00,Downtown,CandidBowlLester,['@ChloeJohnson']
2020-04-07 18:40:00,Northwest,LazyJoannHouse,['@CelebrityBrattyMatty']
2020-04-07 18:41:00,Southwest,TallNBanana1970,['@ElwinJr']
2020-04-07 18:41:00,Palace Hills,Joan_DeponteLion23,['@RachelSimmons']
2020-04-07 18:41:00,Palace Hills,DarkRBanana,['@Stancil6']
2020-04-07 18:41:00,Chapparal,ObnoxiousCouchJackson,['@CelebrityBrattyMatty']
2020-04-07 18:41:00,Cheddarford,TallCarolBread,['@LazyRBowl']
2020-04-07 18:41:00,Broadview,Joseph2014Ratliff,['@ChloeJohnson']
2020-04-07 18:42:00,Scenic Vista,SchmidtBird1964,['@ChloeJohnson']
2020-04-07 18:42:00,Old Town,BarrettoFish2019,['@ChloeJohnson']
2020-04-07 18:42:00,Downtown,Leslie_CruzDog87,['@DerekNolan']
2020-04-07 18:42:00,Northwest,WileyMclaughlinBowl61,['@DerekNolan']
2020-04-07 18:42:00,Chapparal,RockyBusyA,['@AdministratorSophie']
2020-04-07 18:42:00,Southwest,SmartBreadRyan,['@RachelSimmons']
2020-04-07 18:42:00,Palace Hills,CleverScottPlate1964,['@HoldsConleyBird']
2020-04-07 18:43:00,Scenic Vista,FuriousBreadEstelle_Murphy,['@AdministratorSophie']
2020-04-07 18:43:00,Southwest,DarkPrattisPlate,['@LazyRBowl']
2020-04-07 18:43:00,Weston,Jeffrey_Chynoweth2002,['@Stancil6']
2020-04-07 18:44:00,Safe Town,Pete98Brunson,['@CelebrityBrattyMatty']
2020-04-07 18:44:00,West Parton,FastLightJanet_Jodway,['@DerekNolan']
2020-04-07 18:44:00,Safe Town,Taylor10,['@LazyRBowl']
2020-04-07 18:45:00,Southton,SmartECandy,['@HoldsConleyBird']
2020-04-07 18:45:00,Southwest,CharlesFamousWhite,['@ChloeJohnson']
2020-04-07 18:46:00,Weston,Steven_BoyceWhale87,['@RachelSimmons']
2020-04-07 18:46:00,Chapparal,Chad_BarronMouse1962,['@ChemistryTeacherRichardNelson']
2020-04-07 18:46:00,Broadview,LazyHCar,['@LazyRBowl']
2020-04-07 18:47:00,East Parton,SmithOctopus2013,['@HoldsConleyBird']
2020-04-07 18:47:00,West Parton,TroiloFish83,['@ChloeJohnson']
2020-04-07 18:47:00,Southton,CleverCBanana,['@WorkinSafeTownaLivinSafeTown']
2020-04-07 18:48:00,Terrapin Springs,SmartArleneCouch,['@RachelSimmons']
2020-04-07 18:48:00,Southwest,FearsEarlBird,['@Stancil6']
2020-04-07 18:48:00,Scenic Vista,JoseWhale1980,['@DerekNolan']
2020-04-07 18:49:00,East Parton,Peggy_CoughlinBird52,['@AlwaysSafePowerCompany']
2020-04-07 18:51:00,Southwest,FastCrumpBowl2000,['@AdministratorSophie']
2020-04-07 18:51:00,Northwest,Yvette_LuchtLion95,['@RachelSimmons']
2020-04-07 18:52:00,Terrapin Springs,Greene1993,['@CelebrityBrattyMatty']
2020-04-07 18:52:00,Northwest,DarkLightFletcher_Stephens,['@DerekNolan']
2020-04-07 18:52:00,Scenic Vista,Mona_ParkDog13,['@RachelSimmons']
2020-04-07 18:52:00,Northwest,CandidBowlArmando,['@LazyRBowl']
2020-04-07 18:53:00,Downtown,SteveWhale1998,['@AlwaysSafePowerCompany']
2020-04-07 18:53:00,Easton,MAttentativeM,"['@DerekNolan', '@ing']"
2020-04-07 18:54:00,Old Town,FleetSIcecream68,['@RachelSimmons']
2020-04-07 18:55:00,Northwest,DarkWLight,['@LazyRBowl']
2020-04-07 18:55:00,West Parton,SmartFrankPlate,['@RachelSimmons']
2020-04-07 18:57:00,Scenic Vista,TravisMouse83,['@DerekNolan']
2020-04-07 18:57:00,Southton,Jessica_VillegasWhale2001,['@RachelSimmons']
2020-04-07 18:58:00,Northwest,FuriousTIcecream84,['@LazyRBowl']
2020-04-07 18:58:00,West Parton,LovesJaimeCat,['@RachelSimmons']
2020-04-07 18:58:00,Terrapin Springs,WileyRIcecream86,['@DerekNolan']
2020-04-07 18:59:00,Weston,LydiaFastGarcia,['@CelebrityBrattyMatty']
2020-04-07 18:59:00,Cheddarford,CleverSPlate,['@RachelSimmons']
2020-04-07 18:59:00,Southwest,RacesJack_SayersLion,['@AlwaysSafePowerCompany']
2020-04-07 19:00:00,Scenic Vista,LazyLBanana,['@FearsTrammelBear']
2020-04-07 19:01:00,Downtown,FearsDanielMouse,['@LazyRBowl']
2020-04-07 19:02:00,Southton,CandidDonnaBanana,['@AlwaysSafePowerCompany']
2020-04-07 19:04:00,Weston,Craven1981,['@George81']
2020-04-07 19:10:00,Scenic Vista,CuriousHarmonPlate2005,['@DerekNolan']
2020-04-07 19:11:00,Northwest,DavidFastM,['@DerekNolan']
2020-04-07 19:12:00,Scenic Vista,TravisMouse83,['@ChloeJohnson']
2020-04-07 19:21:00,Southton,JObnoxiousL,['@AlwaysSafePowerCompany']
2020-04-07 19:27:00,Downtown,FearsStephanieDog,['@LazyRBowl']
2020-04-07 19:34:00,Downtown,LovesPhyllis_GunnDog,['@LovesTheresa_KeyserBear']
2020-04-07 19:51:00,Chapparal,ObnoxiousCandyMiller,['@Arnold_Brown1965']
2020-04-07 20:05:00,Southwest,WileyJamesCouch,['@Miller1955']
2020-04-07 20:11:00,Old Town,CanAdoreThedore23,['@PeterLovesCrystals54']
2020-04-07 20:21:00,Downtown,CandidBowlLester,['@Miller1955']
2020-04-07 20:33:00,Northwest,FamousSBowl,['@Eugene2008Talbott']
2020-04-07 20:44:00,Chapparal,SmartMLight,['@FuriousLeclaireHouse']
2020-04-07 20:55:00,Broadview,FuriousCastellanoHouse19,['@AndrewDarkB']
2020-04-07 21:05:00,Easton,CleverWPlate87,['@WatchesCharlesLion']
2020-04-07 21:43:00,Downtown,Rickard39,['@Miller1955']
2020-04-07 21:58:00,Scenic Vista,LazyABowl,['@Hannahs1991']
2020-04-07 22:34:00,Palace Hills,AlanOctopus1999,['@ObnoxiousSCandy']
2020-04-07 22:53:00,Safe Town,Michael_HigaWhale1971,['@BusyCBowl94']
2020-04-08 00:01:00,Weston,FastThomasBanana,['@TallBananaRobert']
2020-04-08 00:02:00,Oak Willow,VincentObnoxiousC,['@CuriousMHouse']
2020-04-08 02:18:00,Southton,TDarkFields,['@Baldwin52']
2020-04-08 02:29:00,Terrapin Springs,LovesMoultonWhale,['@Baldwin52']
2020-04-08 02:30:00,Oak Willow,Felipa_StillCat1990,['@Baldwin52']
2020-04-08 02:31:00,Broadview,Albert85H,['@Baldwin52']
2020-04-08 02:32:00,Downtown,CeravoloWhale1992,['@Baldwin52']
2020-04-08 02:33:00,Weston,SmartFCar,['@Baldwin52']
2020-04-08 02:34:00,Southton,HoldsShinLion,['@Baldwin52']
2020-04-08 02:37:00,West Parton,LazyHCar,['@Baldwin52']
2020-04-08 02:37:00,West Parton,FuriousJLight,['@Armando_ReganHorse33']
2020-04-08 02:39:00,Oak Willow,CuriousJBread,['@Baldwin52']
2020-04-08 02:40:00,Broadview,TallMBowl,['@Baldwin52']
2020-04-08 02:42:00,Chapparal,FamousBBread70,['@Baldwin52']
2020-04-08 02:45:00,Cheddarford,GuapoWilsonBread,['@Baldwin52']
2020-04-08 02:46:00,Old Town,BarrettoFish2019,['@Baldwin52']
2020-04-08 02:55:00,Scenic Vista,TallSuarezBread,['@HoldsCorreyDog']
2020-04-08 03:25:00,West Parton,ObnoxiousWhitsonBread14,['@WileyGaitherBanana']
2020-04-08 03:27:00,Old Town,Duane_Maisel44,['@FleetTallentCandy']
2020-04-08 03:39:00,Downtown,CuriousCHouse,['@FleetTallentCandy']
2020-04-08 03:40:00,Northwest,Josefina2019,['@FleetTallentCandy']
2020-04-08 03:43:00,Old Town,Douglas1992B,['@FleetTallentCandy']
2020-04-08 03:45:00,Southwest,CampbellWhale97,['@FleetTallentCandy']
2020-04-08 03:49:00,Downtown,FuriousTimHouse,['@FleetTallentCandy']
2020-04-08 03:50:00,East Parton,MaryCandidK,['@FleetTallentCandy']
2020-04-08 03:51:00,Pepper Mill,GuapoJacksonBowl,['@FleetTallentCandy']
2020-04-08 03:52:00,Downtown,JWileyAlexander,['@FleetTallentCandy']
2020-04-08 03:53:00,Easton,DarkMPlate,['@FleetTallentCandy']
2020-04-08 03:54:00,Old Town,RSmartWoods,['@FleetTallentCandy']
2020-04-08 03:55:00,Chapparal,WatchesRussellHorse,['@FleetTallentCandy']
2020-04-08 03:56:00,Downtown,FastBananaJessie_Mack,['@FleetTallentCandy']
2020-04-08 03:57:00,Scenic Vista,ObnoxiousDHouse,['@FleetTallentCandy']
2020-04-08 03:58:00,West Parton,BradleyFleetA,['@FleetTallentCandy']
2020-04-08 04:00:00,Pepper Mill,Grace67Sharp,['@FleetTallentCandy']
2020-04-08 04:01:00,Old Town,TallMosleyBread,['@FleetTallentCandy']
2020-04-08 04:02:00,Northwest,WileyKohnCandy,['@FleetTallentCandy']
2020-04-08 04:04:00,Cheddarford,SmartBCar2013,['@FleetTallentCandy']
2020-04-08 04:05:00,West Parton,FuriousCarStaker,['@FleetTallentCandy']
2020-04-08 04:06:00,Cheddarford,CleverHouseBrandon,['@FleetTallentCandy']
2020-04-08 04:07:00,Scenic Vista,TallHawkinsCar,['@FleetTallentCandy']
2020-04-08 04:08:00,Southton,DarkSusanBread,['@FleetTallentCandy']
2020-04-08 04:10:00,Old Town,FleetGladwinPlate,['@FleetTallentCandy']
2020-04-08 04:12:00,Downtown,Winifred2011,['@FleetTallentCandy']
2020-04-08 04:14:00,Northwest,FearsParkerHorse,['@FleetTallentCandy']
2020-04-08 04:19:00,Southton,CuriousBananaWilliam_Youngman,['@FleetTallentCandy']
2020-04-08 04:21:00,Downtown,FastECar,['@FleetTallentCandy']
2020-04-08 04:22:00,Palace Hills,Melinda23,['@FleetTallentCandy']
2020-04-08 04:33:00,Terrapin Springs,PaulineDarkH,['@FleetTallentCandy']
2020-04-08 04:40:00,Chapparal,ObnoxiousFPlate13,['@FleetTallentCandy']
2020-04-08 04:47:00,Cheddarford,SFleetBarnes,['@FleetTallentCandy']
2020-04-08 04:49:00,Cheddarford,SCuriousM,['@FleetTallentCandy']
2020-04-08 05:22:00,Downtown,FastBananaJessie_Mack,['@Beverly_Lilly65']
2020-04-08 05:26:00,Southton,DarkFreebornIcecream,['@FamousLightMinnie']
2020-04-08 05:47:00,Scenic Vista,FamousGuilliamIcecream1978,['@Ronald1961T']
2020-04-08 05:50:00,Palace Hills,CandidCouchRivera,['@RacesCollinsLion']
2020-04-08 05:52:00,Scenic Vista,AttentativeBananaJeannine_Chan,['@RunsHammondWhale']
2020-04-08 05:54:00,Southwest,GuapoKCouch,['@CuriousIcecreamGillen']
2020-04-08 06:01:00,Downtown,Joseph2005Tant,['@Parsons1986']
2020-04-08 06:06:00,Weston,DarkCouchWebb,['@FastCandyLingberg']
2020-04-08 06:23:00,Old Town,TallWCouch,['@CuriousSimsHouse2017']
2020-04-08 06:25:00,West Parton,KathleenGuapoS,['@TallOwensCar']
2020-04-08 06:31:00,West Parton,WileyPalaciosCar,['@FastCouchAmy_Romanowski']
2020-04-08 06:41:00,Downtown,BusyParkBowl5,['@Sarah2017B']
2020-04-08 06:46:00,Weston,JaneOctopus37,['@ObnoxiousJPlate1973']
2020-04-08 06:56:00,Scenic Vista,LazyRodriguezCar1994,['@BusyRuthCandy']
2020-04-08 06:59:00,Safe Town,Christopher71,['@Annie45Reese']
2020-04-08 07:01:00,Old Town,Mrs.Tillenbottom,['@ChloeJohnson']
2020-04-08 07:02:00,West Parton,RachelSimmons,['@TonyPeterson?']
2020-04-08 07:02:00,Scenic Vista,ChloeJohnson,['@Mrs.Tillenbottom']
2020-04-08 07:02:00,Easton,CatLadyKylieCrane,['@ChloeJohnson']
2020-04-08 07:02:00,Scenic Vista,ChloeJohnson,['@Elizabeth_HartzellMouse49']
2020-04-08 07:02:00,Old Town,Karen2005D,['@ChloeJohnson']
2020-04-08 07:02:00,Cheddarford,DerekNolan,['@ChemistryTeacherRichardNelvoeson']
2020-04-08 07:03:00,Chapparal,ChemistryTeacherRichardNelson,['@DerekNolan']
2020-04-08 07:03:00,Northwest,ElwinJr,['@CarolGeeenin']
2020-04-08 07:03:00,Downtown,AdministratorSophie,['@ChloeJohnson']
2020-04-08 07:03:00,Cheddarford,DerekNolan,['@ChemistryTeacherRichardNelson']
2020-04-08 07:03:00,Scenic Vista,ChloeJohnson,['@DarkArchieIcecream']
2020-04-08 07:04:00,East Parton,FuriousNCouch,['@ChloeJohnson']
2020-04-08 07:04:00,Old Town,Mrs.Tillenbottom,['@CarolGreenin']
2020-04-08 07:05:00,Scenic Vista,ChloeJohnson,['@AdministratorSophie']
2020-04-08 07:05:00,Chapparal,ChemistryTeacherRichardNelson,['@CassieStones']
2020-04-08 07:05:00,Northwest,TonyPeterson,['@RachelSimmons']
2020-04-08 07:05:00,Chapparal,ChemistryTeacherRichardNelson,['@DerekNolan']
2020-04-08 07:06:00,Broadview,June_Forsythe53,['@ChloeJohnson']
2020-04-08 07:06:00,Cheddarford,DerekNolan,['@ChemistryTeacherRichardNelson']
2020-04-08 07:06:00,Chapparal,ChemistryTeacherRichardNelson,['@DerekNolan']
2020-04-08 07:06:00,Cheddarford,DerekNolan,['@ChemistryTeacherRichardNelson']
2020-04-08 07:06:00,Scenic Vista,ChloeJohnson,['@CatLadyKylieCrane']
2020-04-08 07:06:00,Pepper Mill,CassieStones,"['@ChemistryTeacherRichardNelson', '@FleetGladwinPlate']"
2020-04-08 07:06:00,Old Town,FearsRobertWhale,['@AdministratorSophie']
2020-04-08 07:06:00,Wilson Forest,DawnDawson,['@CarolGreenin']
2020-04-08 07:07:00,Broadview,KevinAttentativeSmith,['@ChloeJohnson']
2020-04-08 07:07:00,Northwest,CuriousSmartBread46,['@ChloeJohnson']
2020-04-08 07:08:00,Chapparal,ChemistryTeacherRichardNelson,['@DerekNolan']
2020-04-08 07:08:00,Cheddarford,DerekNolan,['@ChemistryTeacherRichardNelson']
2020-04-08 07:08:00,Weston,WileyBLight,['@CarolGeeenin']
2020-04-08 07:08:00,Chapparal,ChemistryTeacherRichardNelson,['@DerekNolan']
2020-04-08 07:09:00,Scenic Vista,ChloeJohnson,['@TonyPeterson']
2020-04-08 07:09:00,Old Town,JosephFastK,['@ChloeJohnson']
2020-04-08 07:10:00,Oak Willow,BusyBowlJesus,['@Katina_Hwang77']
2020-04-08 07:10:00,Weston,AttentativeIcecreamMcdonald,['@ChloeJohnson']
2020-04-08 07:10:00,Cheddarford,DerekNolan,['@ChemistryTeacherRichardNelson']
2020-04-08 07:10:00,Downtown,FamousThomasIcecream,['@Wendell_Walker2012']
2020-04-08 07:11:00,Northwest,PaigeCleverB,['@Mrs.Tillenbottom']
2020-04-08 07:11:00,Pepper Mill,CassieStones,['@ChloeJohnson']
2020-04-08 07:11:00,Cheddarford,DerekNolan,['@ChemistryTeacherRichardNelson']
2020-04-08 07:11:00,Northwest,FearsBrooksWhale,['@CarolGeeenin']
2020-04-08 07:11:00,Oak Willow,LazyLongoriaBowl1951,['@ChemistryTeacherRichardNelson']
2020-04-08 07:11:00,Chapparal,ChemistryTeacherRichardNelson,['@DerekNolan']
2020-04-08 07:11:00,Palace Hills,Jonathan45Ochoa,['@ChloeJohnson']
2020-04-08 07:11:00,Downtown,WatchesAnnette_BurkDog,['@ChloeJohnson']
2020-04-08 07:12:00,UNKNOWN,VeryPopularSingerLalisaManoban,['@ChemistryTeacherRichardNelson']
2020-04-08 07:12:00,Old Town,Mrs.Tillenbottom,['@ChloeJohnson']
2020-04-08 07:12:00,Terrapin Springs,DarkHBanana1960,['@CarolGeeenin']
2020-04-08 07:13:00,Chapparal,ChemistryTeacherRichardNelson,['@WatchesBrady_BridgesBird']
2020-04-08 07:13:00,Northwest,C88Joiner,['@ChloeJohnson']
2020-04-08 07:13:00,Chapparal,ChemistryTeacherRichardNelson,['@VeryPopularSingerLalisaManoban']
2020-04-08 07:13:00,Northwest,FastRHouse1950,['@ChloeJohnson']
2020-04-08 07:14:00,Weston,WileyLLight,['@ChloeJohnson']
2020-04-08 07:14:00,Southton,LovesScottWhale,['@CassieStones']
2020-04-08 07:14:00,Pepper Mill,Terrence_ParkerOctopus1978,['@DerekNolan']
2020-04-08 07:14:00,Weston,DarkDallasIcecream,['@ChloeJohnson']
2020-04-08 07:15:00,Southton,EvelynHorse29,['@ChemistryTeacherRichardNelson']
2020-04-08 07:15:00,Cheddarford,DarkBreadDenise_Zingler,['@DerekNolan']
2020-04-08 07:15:00,Weston,MaryFamousPhelps,['@CarolGreenin']
2020-04-08 07:15:00,Weston,DarkGCar,['@ChloeJohnson']
2020-04-08 07:15:00,Broadview,FastGravesBread1955,['@ChloeJohnson']
2020-04-08 07:16:00,Cheddarford,Michael30G,['@DerekNolan']
2020-04-08 07:16:00,Broadview,ConnerBear1964,['@Elizabeth_HartzellMouse49']
2020-04-08 07:16:00,Southwest,GuapoJBowl,['@CassieStones']
2020-04-08 07:16:00,Weston,DianeBird77,['@ChloeJohnson']
2020-04-08 07:16:00,Broadview,RaisaCleverFalls,['@ChloeJohnson']
2020-04-08 07:16:00,Terrapin Springs,RacesRohrBird,['@ChemistryTeacherRichardNelson']
2020-04-08 07:17:00,Old Town,JosephFastK,['@Elizabeth_HartzellMouse49']
2020-04-08 07:17:00,Weston,SherriLazyHernandez,['@TonyPeterson?']
2020-04-08 07:17:00,Broadview,NelsonAttentativeC,['@ChloeJohnson']
2020-04-08 07:17:00,Southton,JAttentativeM,['@ChemistryTeacherRichardNelson']
2020-04-08 07:17:00,West Parton,SFleetKelly,['@CassieStones']
2020-04-08 07:17:00,Scenic Vista,ChloeJohnson,['@Mrs.Tillenbottom']
2020-04-08 07:18:00,Palace Hills,CleverCandyElaine_Marte,['@CarolGreenin']
2020-04-08 07:18:00,Downtown,GuapoNPlate,['@CarolGeeenin']
2020-04-08 07:18:00,Old Town,MFamousL,['@CatLadyKylieCrane']
2020-04-08 07:18:00,Southton,Evelyn_DavisFish75,['@ChloeJohnson']
2020-04-08 07:18:00,Pepper Mill,LazyHimesCouch,['@DerekNolan']
2020-04-08 07:18:00,East Parton,LazyCandyLubinski,['@CassieStones']
2020-04-08 07:18:00,Cheddarford,AttentativeDavidCandy,['@DerekNolan']
2020-04-08 07:18:00,Scenic Vista,TallWBanana,['@ChloeJohnson']
2020-04-08 07:18:00,West Parton,RachelSimmons,['@VeryPopularSingerLalisaManoban']
2020-04-08 07:18:00,Southwest,BusyCouchIda,['@DarkArchieIcecream']
2020-04-08 07:18:00,Safe Town,FuriousWillieLight,['@ChemistryTeacherRichardNelson']
2020-04-08 07:19:00,Cheddarford,FuriousBHouse,['@CassieStones']
2020-04-08 07:19:00,Safe Town,Pete98Brunson,['@BusyRuthCandy']
2020-04-08 07:19:00,Downtown,FearsEileenWhale,['@ChloeJohnson']
2020-04-08 07:19:00,Northwest,KFamousG,['@CarolGreenin']
2020-04-08 07:19:00,Southton,LarryDog71,['@ChloeJohnson']
2020-04-08 07:19:00,Easton,Deborah1955,['@DerekNolan']
2020-04-08 07:19:00,Chapparal,LazyTCouch,['@ChemistryTeacherRichardNelvoeson']
2020-04-08 07:20:00,Chapparal,FastCarVictor,['@DerekNolan']
2020-04-08 07:20:00,Palace Hills,Betty_BlackBird1969,['@DerekNolan']
2020-04-08 07:20:00,Southton,Richard14B,['@Elizabeth_HartzellMouse49']
2020-04-08 07:20:00,Weston,AttentativeIcecreamMcdonald,['@ChloeJohnson']
2020-04-08 07:20:00,Weston,Steven_BoyceWhale87,['@ChloeJohnson']
2020-04-08 07:20:00,Southwest,Vicky61Spurlock,['@TonyPeterson?']
2020-04-08 07:20:00,Scenic Vista,Jessica1963P,['@ChemistryTeacherRichardNelson']
2020-04-08 07:20:00,Old Town,GSmartThompson,['@DerekNolan']
2020-04-08 07:20:00,Weston,ObnoxiousBowlPaul,['@ChemistryTeacherRichardNelson']
2020-04-08 07:20:00,Old Town,Patricia1955L,['@ChloeJohnson']
2020-04-08 07:20:00,Cheddarford,BusyIcecreamAllen,['@ChemistryTeacherRichardNelson']
2020-04-08 07:21:00,Scenic Vista,FearsLivermoreMouse,['@ChemistryTeacherRichardNelson']
2020-04-08 07:21:00,Oak Willow,LovesJohn_BeltOctopus,['@ChemistryTeacherRichardNelson']
2020-04-08 07:21:00,Southton,BAttentativeM,['@BusyRuthCandy']
2020-04-08 07:21:00,Northwest,SmartJamesIcecream,['@TonyPeterson?']
2020-04-08 07:21:00,Scenic Vista,DarkSCandy,['@DerekNolan']
2020-04-08 07:21:00,Downtown,TLazyVoorhees,['@CatLadyKylieCrane']
2020-04-08 07:21:00,Weston,CandidLightJarrod,['@ChloeJohnson']
2020-04-08 07:21:00,Weston,WileyPBanana,['@ChloeJohnson']
2020-04-08 07:22:00,Scenic Vista,CuriousHarmonPlate2005,['@CarolGreenin']
2020-04-08 07:22:00,Southton,Jeronimo66,['@DarkArchieIcecream']
2020-04-08 07:22:00,Old Town,CWileyDepeyster,['@BusyRuthCandy']
2020-04-08 07:22:00,Easton,William74,['@ChemistryTeacherRichardNelson']
2020-04-08 07:22:00,Scenic Vista,Dorothy85M,['@ChloeJohnson']
2020-04-08 07:22:00,Southton,FleetBergsmaIcecream,['@ChemistryTeacherRichardNelson']
2020-04-08 07:22:00,Southton,ObnoxiousDCandy51,['@Elizabeth_HartzellMouse49']
2020-04-08 07:22:00,Southton,CandidBlendenPlate,['@DerekNolan']
2020-04-08 07:22:00,Easton,CuriousELight,['@CarolGreenin']
2020-04-08 07:22:00,Downtown,FinleyCat84,['@DerekNolan']
2020-04-08 07:22:00,Pepper Mill,RacesStella_WallHorse,['@Mrs.Tillenbottom']
2020-04-08 07:22:00,Pepper Mill,D2016Lamar,['@CarolGeeenin']
2020-04-08 07:23:00,Broadview,SmartDPlate21,"['@ChemistryTeacherRichardNelson', '@FleetGladwinPlate']"
2020-04-08 07:23:00,Terrapin Springs,D1972Knox,['@DerekNolan']
2020-04-08 07:23:00,Northwest,FamousBreadAnna,['@ChloeJohnson']
2020-04-08 07:23:00,Southwest,FleetGBread,['@CarolGreenin']
2020-04-08 07:23:00,Downtown,Brandi1970,['@ChemistryTeacherRichardNelvoeson']
2020-04-08 07:23:00,Weston,Craven1981,['@DerekNolan']
2020-04-08 07:24:00,Terrapin Springs,WileyPCandy6,['@DerekNolan']
2020-04-08 07:24:00,Northwest,SmartAcostaBowl27,['@AdministratorSophie']
2020-04-08 07:24:00,Cheddarford,EBusyTaylor,['@Elizabeth_HartzellMouse49']
2020-04-08 07:24:00,Cheddarford,Jerome_Hussein1956,['@ChemistryTeacherRichardNelson']
2020-04-08 07:24:00,Easton,RunsHoodHorse,['@ChloeJohnson']
2020-04-08 07:24:00,Safe Town,WileyRCouch,['@Mrs.Tillenbottom']
2020-04-08 07:24:00,West Parton,FearsChristine_FleisherBird,['@ChloeJohnson']
2020-04-08 07:24:00,Broadview,BusySimonBowl2004,['@DerekNolan']
2020-04-08 07:24:00,Downtown,MyrtleFleetD,['@CarolGreenin']
2020-04-08 07:24:00,Southwest,Laura60Perkins,['@CarolGreenin']
2020-04-08 07:24:00,Weston,LyleCleverT,['@ChloeJohnson']
2020-04-08 07:24:00,Southwest,WatchesSharonLion,['@ChloeJohnson']
2020-04-08 07:24:00,Downtown,ChatmanOctopus8,['@BusyRuthCandy']
2020-04-08 07:24:00,Chapparal,CuriousOIcecream17,"['@ChemistryTeacherRichardNelson', '@FleetGladwinPlate']"
2020-04-08 07:25:00,Oak Willow,SmartABread,['@CarolGeeenin']
2020-04-08 07:25:00,Terrapin Springs,FearsMaurice_LevasseurBear,['@CarolGreenin']
2020-04-08 07:25:00,Southton,Berger30,['@TonyPeterson']
2020-04-08 07:25:00,Old Town,WatchesAnnaBear,['@ChloeJohnson']
2020-04-08 07:25:00,Southton,SmartHoyBowl,['@DerekNolan']
2020-04-08 07:25:00,Broadview,FuriousCouchTabitha_Bell,['@ChemistryTeacherRichardNelson']
2020-04-08 07:25:00,Downtown,WileyWCandy,['@ChemistryTeacherRichardNelson']
2020-04-08 07:25:00,Cheddarford,EBusyTaylor,['@ChemistryTeacherRichardNelvoeson']
2020-04-08 07:25:00,Downtown,TFuriousP,['@DerekNolan']
2020-04-08 07:26:00,Southwest,JohnAttentativeB,"['@ChemistryTeacherRichardNelson', '@FleetGladwinPlate']"
2020-04-08 07:26:00,Safe Town,RunsKaren_GallegosHorse,['@ChemistryTeacherRichardNelson']
2020-04-08 07:26:00,Downtown,CuriousCHouse,['@DerekNolan']
2020-04-08 07:26:00,Old Town,FleetVasquezBowl11,['@ChemistryTeacherRichardNelson']
2020-04-08 07:26:00,Scenic Vista,FamousBreadCallis,['@CassieStones']
2020-04-08 07:26:00,Southton,CleverScottIcecream,['@DerekNolan']
2020-04-08 07:26:00,Broadview,RacesAshley_WaynickOctopus,['@Elizabeth_HartzellMouse49']
2020-04-08 07:26:00,Southton,ObnoxiousSmithBanana,['@ChemistryTeacherRichardNelvoeson']
2020-04-08 07:27:00,Broadview,HoldsMichael_McclaughryLion,['@DerekNolan']
2020-04-08 07:27:00,Southton,ESmartLuescher,['@ChloeJohnson']
2020-04-08 07:27:00,Palace Hills,HoldsJustinCat,['@ChloeJohnson']
2020-04-08 07:27:00,Old Town,RacesNorberto_MartinBear,"['@ChemistryTeacherRichardNelson', '@FleetGladwinPlate']"
2020-04-08 07:27:00,Oak Willow,LFuriousB,['@AdministratorSophie']
2020-04-08 07:27:00,Oak Willow,WatchesWhaleyMouse,['@ChemistryTeacherRichardNelvoeson']
2020-04-08 07:27:00,Oak Willow,RacesBowlandOctopus,['@DerekNolan']
2020-04-08 07:27:00,Weston,GuapoEdmundoBowl,['@ChemistryTeacherRichardNelson']
2020-04-08 07:27:00,Southwest,GuapoTPlate,['@CassieStones']
2020-04-08 07:27:00,Downtown,FamousKCandy,['@Mrs.Tillenbottom']
2020-04-08 07:28:00,Palace Hills,RunsMavisDog,['@BusyRuthCandy']
2020-04-08 07:28:00,Broadview,Bradley_TaylorFish86,['@ChloeJohnson']
2020-04-08 07:28:00,Weston,JObnoxiousMarkert,"['@ChemistryTeacherRichardNelson', '@FleetGladwinPlate']"
2020-04-08 07:28:00,Terrapin Springs,LovesLoisOctopus,['@CarolGreenin']
2020-04-08 07:28:00,Weston,DFamousLamke,['@CatLadyKylieCrane']
2020-04-08 07:28:00,Downtown,TFuriousP,['@ChemistryTeacherRichardNelson']
2020-04-08 07:28:00,Pepper Mill,WilliamsBird14,['@ChemistryTeacherRichardNelson']
2020-04-08 07:28:00,Downtown,FloydHorse2016,['@Mrs.Tillenbottom']
2020-04-08 07:28:00,Downtown,KramerLion81,['@Elizabeth_HartzellMouse49']
